team.id,team.size,final.performance,time.of.day,females,final.cash,final.contracts,final.reorders,final.rank,interim.performance,interim.cash,interim.contracts,interim.reorders,interim.rank,mean_testo,mean_log_testo,sd_testo,sd_log_testo,mean_cortisol,mean_log_cortisol,sd_cortisol,sd_log_cortisol,diversity_score,team_size,mean_age,proportion_female
2,6,0.505548839,14.25,2,1805166,3,87,5,NA,NA,NA,NA,NA,101.085,4.519116696406812,48.829155941916504,0.4821379715112505,0.15483333333333332,-2.0081352063913434,0.09703075113935102,0.5711292605677053,4,6,NA,0.3333333333333333
3,5,0.604007132,14.25,1,1894642,3,85,4,NA,NA,NA,NA,NA,83.254,4.268671336559644,45.01697879689396,0.6695210139613822,0.213,-1.667745869708292,0.11061871451070111,0.5696429117810183,4,5,NA,0.2
4,4,-0.450756891,14.25,2,1338256,3,80,12,NA,NA,NA,NA,NA,69.6975,4.041233978932835,52.050552590726646,0.7307442543224848,0.10975,-2.2113968161094575,0.007762087348130013,0.06990079924988622,4,4,27.5,0.5
5,4,0.910154811,14.25,2,1998412,3,90,2,NA,NA,NA,NA,NA,105.63250000000001,4.515612375200683,65.35072933793471,0.6197207487489597,0.23475000000000001,-1.4856063234909476,0.07236193750861016,0.3125586889333257,4,4,27,0.5
6,5,0.831575712,14.25,1,1983439,3,90,3,NA,NA,NA,NA,NA,110.736,4.624404603345728,47.777731005145064,0.47333047892003505,0.241,-1.6092146432632934,0.14305243793798134,0.7294377330227889,4,5,27,0.2
9,4,-0.679794056,14.25,1,1524141,2,77,10,NA,NA,NA,NA,NA,96.28999999999999,4.387937529727295,62.8781986595248,0.7083593312360259,0.14725,-2.03593351335597,0.08654623042050995,0.5572255370817514,3,4,28,0.25
12,6,0.467874126,14.25,1,1771015,3,90,6,NA,NA,NA,NA,NA,103.80000000000001,4.536860314829078,45.469878821039316,0.5459400011620491,0.16799999999999998,-1.8328727100094266,0.06305553108173778,0.32933432037530175,5,6,28.833333333333332,0.16666666666666666
14,5,0.106260407,10.75,2,1715843,3,80,8,NA,NA,NA,NA,NA,90.024,4.3366974790718436,49.67240259943141,0.688358264582084,0.2006,-1.63210776382582,0.0531064967777013,0.24801795276403543,5,5,26.6,0.4
16,5,-0.29895972,10.75,2,1377232,2,100,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,27.8,0.4
18,5,1.10989092,10.75,1,1953814,3,99,1,NA,NA,NA,NA,NA,200.04,4.993815251131782,194.45249059860356,0.8365648644305684,0.2332,-1.5329998221405159,0.09253485829675215,0.46676325390284046,4,5,29.4,0.2
19,3,0.321582215,10.75,1,1788609,3,85,7,NA,NA,NA,NA,NA,149.33333333333334,4.892926338580347,91.63823237783089,0.5626631752719671,0.386,-1.1319040974355934,0.2665408036305136,0.7588506506566866,3,3,27,0.3333333333333333
21,5,-0.936175733,10.75,1,1358222,2,70,10,NA,NA,NA,NA,NA,122.776,4.722312448374128,58.13888397621681,0.46471521237991575,0.2498,-1.4700856298523006,0.11517682058469923,0.45185711910607035,5,5,27.8,0.2
23,5,0.6790747,10.75,1,1929259,3,84,3,NA,NA,NA,NA,NA,159.084,4.6300019788833975,134.06573212420838,1.2158938826203027,0.2288,-1.502137446760266,0.06259952076493878,0.2548772118402482,4,5,29.8,0.2
24,6,-1.047396689,10.75,1,1058115,2,80,11,NA,NA,NA,NA,NA,144.98,4.891838198779077,55.37436916119226,0.49226394515342353,0.18333333333333332,-1.7169845220758366,0.04091291564612166,0.22172454527185112,5,6,26.833333333333332,0.16666666666666666
27,5,0.377080799,16,2,1870332,3,81,6,NA,NA,NA,NA,NA,131,4.64809638558767,84.30093208262885,0.8131211264947452,0.166,-1.82057074363056,0.04277849927241487,0.2445848485725089,4,5,28.4,0.4
28,5,1.054228413,16,1,2050636,3,92,1,NA,NA,NA,NA,NA,106.838,4.543810374729031,53.77331791883406,0.6023695567367064,0.1624,-1.8712347969385439,0.05852606257044805,0.3711824541580864,5,5,29.2,0.2
30,4,0.014999928,16,1,1617638,3,90,11,NA,NA,NA,NA,NA,84.92999999999999,4.398141116059633,29.335641575848765,0.33961008975333784,0.12075,-2.2406113207446126,0.06430331769564201,0.6081733228091644,4,4,27.5,0.25
32,5,0.282814825,16,1,1662155,3,99,10,NA,NA,NA,NA,NA,83.48,4.41601608759872,12.15795624272435,0.14713344046247182,0.1654,-1.872129218181702,0.06614227090144395,0.443911874843206,5,5,27.6,0.2
34,5,0.260760208,16,1,1796880,3,85,8,NA,NA,NA,NA,NA,104.12,4.61464743989055,28.974862381036434,0.27732252705392846,0.14200000000000002,-1.978832508761912,0.035234925854895745,0.2645892177150395,5,5,27.4,0.2
35,6,0.592587033,16,1,1967580,3,85,5,NA,NA,NA,NA,NA,127.33333333333334,4.756638904855712,59.16798954389668,0.47009254489169483,0.20833333333333334,-1.7123295331957544,0.13982512888128037,0.5514313247262985,6,6,27.833333333333332,0.16666666666666666
36,5,0.275261414,16,2,1782546,3,90,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,25.8,0.4
39,3,0.742972466,16,0,1979585,3,89,4,NA,NA,NA,NA,NA,121.36666666666667,4.787304487973123,23.199638646611152,0.18306931692137196,0.12033333333333333,-2.2510217720075834,0.07748763342194245,0.6243667792241103,3,3,28.333333333333332,0
42,5,-0.485186879,9,2,1545551,2,83,9,0.0904374652239903,961412,1,78,2,109.7,4.5964450920221385,45.8772470839304,0.5564836422685608,0.162,-1.893693505137822,0.07014271166700073,0.4283412721693876,4,5,28.2,0.4
44,6,-0.4344426,9,2,1408975,2,95,10,0.270105418251237,891031,2,100,8,173.07666666666665,5.018980132991794,102.49476604523113,0.5621910679106034,0.41,-1.0998212077692473,0.3048934240025521,0.6801296936350154,5,6,27.5,0.3333333333333333
46,5,0.358277333,9,2,1782072,3,80,5,0.16709757082403,831966,3,85,10,119.66799999999999,4.609730306043642,68.61067897929593,0.7083374370357203,0.318,-1.148762956212442,0.027748873851023224,0.0875377903028433,3,5,28.2,0.4
47,5,0.458317236,9,2,1725189,3,95,7,0.167342992146023,840113,3,80,9,NA,NA,NA,NA,NA,NA,NA,NA,5,5,28.2,0.4
48,5,0.900278335,9,2,1946078,3,88,1,0.256793205890471,891267,2,95,7,107.976,4.549729328023244,66.94810923394327,0.5546800004478488,0.238,-1.5891071816887987,0.13442470011125188,0.6485524439818083,4,5,28.2,0.4
49,5,-1.387857283,9,2,642783,2,86,13,-1.65393716755107,619239,2,20,13,164.226,4.813463525331898,135.88376128147175,0.8695160012616999,0.472,-0.8590122864167216,0.24580480060405654,0.5221159961441277,5,5,28.4,0.4
50,5,0.321586894,9,2,1773450,3,82,6,0.98085192965566,971554,3,88,1,113.298,4.484455642396792,80.82300087227645,0.8367066531772558,0.198,-1.633032523175834,0.035637059362410926,0.18590981812333116,5,5,27.4,0.4
52,5,-0.785387138,9,2,1246566,2,90,12,-0.302024856328206,753786,2,89,11,106.362,4.576254148647148,57.99793073894964,0.4422776143212649,0.16,-1.929259329368528,0.07348469228349534,0.5113671114457475,5,5,27.8,0.4
53,5,-0.396236651,9,2,1321736,3,80,11,-1.21443093303772,434957,2,76,14,160.572,4.98343591587257,67.74798904764627,0.5295472798824223,0.752,-0.6393705446947716,0.8132465800727354,0.864714968470279,4,5,27.4,0.4
55,6,0.615261273,14.25,2,1748765,3,88,3,0.269477232230662,730972,3,108,11,92.05833333333334,4.414154444031435,42.36938065002445,0.5365585397907074,0.10166666666666667,-2.295178784755618,0.014719601443879744,0.14964890454854918,5,6,27.5,0.3333333333333333
57,5,-0.773594235,14.25,2,1174116,2,90,11,-0.586956125369961,698312,2,80,12,91.524,4.403928101058522,48.356541749798446,0.5323304803891771,0.134,-2.183434126083788,0.09736529155710467,0.6267005790048246,5,5,27.8,0.4
58,5,-0.584131442,14.25,2,1343311,2,86,9,0.178859352937382,803367,2,100,7,85.898,4.2840588721593,45.82241994919081,0.721845464240742,0.156,-1.973970327227674,0.08049844718999244,0.5517717915456061,5,5,27.2,0.4
60,5,0.176487956,14.25,2,1665313,3,75,5,0.0843214753130201,799673,3,75,8,100.682,4.52404833374219,44.79841035126135,0.48187223613109914,0.14800000000000002,-1.933499770898648,0.03420526275297414,0.24436141733217048,4,5,26.2,0.4
61,4,-0.034846041,14.25,2,1409932,3,85,8,0.72968513634982,961718,3,80,3,95.765,4.530530620431162,25.95697786723254,0.2987668331074469,0.11,-2.2139368985604424,0.01414213562373095,0.1356873357787516,4,4,26,0.5
